origen,destino,escalas,dias_transito,frecuencia,tarifa
Lima,"Panama City (PTY, Panama)",Directo (LIM->PTY),1,Diaria,100-299 kg = US$ 2.60/kg (estim.)
Lima,"San Jose (SJO, Costa Rica)",LIM -> PTY -> SJO,2,2 veces/sem,100-299 kg = US$ 3.20/kg (estim.)
Lima,"San Salvador (SAL, El Salvador)",LIM -> PTY -> SAL,2,1-2 veces/sem,100-299 kg = US$ 3.50/kg (estim.)
Lima,"Guatemala City (GUA, Guatemala)",LIM -> PTY -> GUA,2,1 vez/sem,300-999 kg = US$ 4.00/kg (estim.)
Lima,"Havana (HAV, Cuba)",LIM -> MIA -> HAV,3,1 vez/sem,300-999 kg = US$ 5.50/kg (estim.)
Lima,"Charlotte (CLT, USA)",LIM -> MIA -> CLT,3,1 vez/sem,300-999 kg = US$ 3.80/kg (estim.)
Lima,"Seattle (SEA, USA)",LIM -> LAX -> SEA,3,1 vez/sem,300-999 kg = US$ 4.20/kg (estim.)
Lima,"Shanghai (PVG, China)",LIM -> LAX -> PVG,6,1-2 veces/sem,1000+ kg = US$ 1.90/kg (estim.)
Lima,"Shanghai (PVG, China)",LIM -> MAD -> PVG,7,1 vez/sem (estim.),1000+ kg = US$ 2.20/kg (estim.)
Lima,"Beijing (PEK, China)",LIM -> LAX -> PEK,7,1 vez/sem (estim.),1000+ kg = US$ 2.50/kg (estim.)
Lima,"Guangzhou (CAN, China)",LIM -> MIA -> CAN,7,1 vez/sem (estim.),1000+ kg = US$ 2.30/kg (estim.)
Lima,"Hong Kong (HKG, China)",LIM -> LAX -> HKG,6,1 vez/sem (estim.),1000+ kg = US$ 2.50/kg (estim.)
Lima,"Seoul (ICN, South Korea)",LIM -> LAX -> ICN,7,1 vez/sem (estim.),1000+ kg = US$ 2.70/kg (estim.)
Lima,"Tokyo (NRT, Japan)",LIM -> LAX -> NRT,7,1 vez/sem (estim.),1000+ kg = US$ 2.90/kg (estim.)
Lima,"Osaka (KIX, Japan)",LIM -> MAD -> KIX,8,1 vez/sem (estim.),1000+ kg = US$ 3.10/kg (estim.)
Lima,"Singapore (SIN, Singapore)",LIM -> AMS -> SIN,8,1 vez/sem (estim.),1000+ kg = US$ 3.20/kg (estim.)
Lima,"Bangkok (BKK, Thailand)",LIM -> AMS -> BKK,9,1 vez/2 sem (estim.),1000+ kg = US$ 3.50/kg (estim.)
Lima,"Manila (MNL, Philippines)",LIM -> LAX -> MNL,8,1 vez/2 sem (estim.),1000+ kg = US$ 3.80/kg (estim.)
Lima,"Delhi (DEL, India)",LIM -> MAD -> DEL,9,1 vez/2 sem (estim.),1000+ kg = US$ 3.90/kg (estim.)
Lima,"Jakarta (CGK, Indonesia)",LIM -> AMS -> CGK,9,1 vez/2 sem (estim.),1000+ kg = US$ 4.00/kg (estim.)
Lima,"Seoul (ICN, South Korea)",LIM -> MAD -> ICN,8,1 vez/sem (estim.),1000+ kg = US$ 2.80/kg (estim.)
